ASX_Code,Company,Headline,Date,CR_Price,Current_Price,Price_Diff_%,PDF_Link
AUE,AURUM RESOURCES LIMITED,Aurum raises $28.8M via Strategic Placement,2026-03-22,0.6,0.515,-14.17,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070979-6A1317444?access_token=83ff96335c2d45a094df02a206a39ff4
D3E,D3 ENERGY LIMITED,Substantial excess demand received for $6.12m Placement,2026-03-22,0.36,0.435,20.83,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070949-6A1317427?access_token=83ff96335c2d45a094df02a206a39ff4
KLI,KILLI RESOURCES LIMITED,Nev Power appointed Non-Executive Chair and $1.4m Placement,2026-03-22,0.038,0.115,202.63,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03071006-6A1317467?access_token=83ff96335c2d45a094df02a206a39ff4
EVE,EVE HEALTH GROUP LIMITED,Prospectus,2026-03-20,0.02,0.02,0.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070526-6A1317266?access_token=83ff96335c2d45a094df02a206a39ff4
BTR,BRIGHTSTAR RESOURCES LIMITED,Funding Package Completed - Fully Funded for Production,2026-03-19,0.5,0.3,-40.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070462-6A1317256?access_token=83ff96335c2d45a094df02a206a39ff4
CC9,CHARIOT RESOURCES LTD,Shares Issued Pursuant to $2.15m Placement,2026-03-19,0.1,0.072,-28.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070457-6A1317252?access_token=83ff96335c2d45a094df02a206a39ff4
KEY,KEY PETROLEUM LIMITED,Placement,2026-03-19,0.058,0.046,-20.69,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070128-6A1317116?access_token=83ff96335c2d45a094df02a206a39ff4
GSN,GREAT SOUTHERN MINING LIMITED,$4.6 MILLION PLACEMENT TO DRIVE AGGRESSIVE GOLD DRILLING,2026-03-19,0.028,0.024,-14.29,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070467-6A1317238?access_token=83ff96335c2d45a094df02a206a39ff4
SMI,SANTANA MINERALS LIMITED,Results of the Share Purchase Plan,2026-03-19,0.9,0.785,-12.78,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070491-6A1317261?access_token=83ff96335c2d45a094df02a206a39ff4
MGT,MAGNETITE MINES LIMITED.,Renounceable Rights Issue Closing,2026-03-19,0.04,0.038,-5.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070126-6A1317115?access_token=83ff96335c2d45a094df02a206a39ff4
