ASX_Code,Company,Headline,Date,CR_Price,Current_Price,Price_Diff_%,PDF_Link
EMU,EMU NL,Non-Renounceable Rights Issue Offer Yataga Valley Drill Prog,2026-03-24,0.025,0.026,4.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03071901-6A1317783?access_token=83ff96335c2d45a094df02a206a39ff4
MHC,MANHATTAN GOLD CORPORATION LIMITED,3.10.5A Notice - Issue of Shares from 10% Placement Capacity,2026-03-24,0.024,0.022,-8.33,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03071575-6A1317659?access_token=83ff96335c2d45a094df02a206a39ff4
AIV,ACTIVEX LIMITED,PLACEMENT OF SHARES,2026-03-23,0.02,0.019,-5.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03071153-2A1661868?access_token=83ff96335c2d45a094df02a206a39ff4
BAP,BAPCOR LIMITED,Bapcor Completes Retail Entitlement Offer,2026-03-23,0.6,0.64,6.67,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03071326-3A689974?access_token=83ff96335c2d45a094df02a206a39ff4
PER,PERCHERON THERAPEUTICS LIMITED,Non-renounceable Entitlement Offer Opens,2026-03-23,,0.005,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03071260-3A689944?access_token=83ff96335c2d45a094df02a206a39ff4
KLI,KILLI RESOURCES LIMITED,Nev Power appointed Non-Executive Chair and $1.4m Placement,2026-03-22,0.038,0.14,268.42,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03071006-6A1317467?access_token=83ff96335c2d45a094df02a206a39ff4
D3E,D3 ENERGY LIMITED,Substantial excess demand received for $6.12m Placement,2026-03-22,0.36,0.455,26.39,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070949-6A1317427?access_token=83ff96335c2d45a094df02a206a39ff4
OVT,OVANTI LIMITED,Ovanti Completes Capital Raise,2026-03-22,0.0018,0.001,-44.44,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070999-2A1661726?access_token=83ff96335c2d45a094df02a206a39ff4
CYM,CYPRIUM METALS LIMITED,Completion of Tranche 2 of the Placement,2026-03-22,0.52,0.375,-27.88,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03071046-6A1317492?access_token=83ff96335c2d45a094df02a206a39ff4
AUE,AURUM RESOURCES LIMITED,Aurum raises $28.8M via Strategic Placement,2026-03-22,0.6,0.57,-5.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070979-6A1317444?access_token=83ff96335c2d45a094df02a206a39ff4
EVE,EVE HEALTH GROUP LIMITED.,Prospectus,2026-03-20,0.02,0.019,-5.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070526-6A1317266?access_token=83ff96335c2d45a094df02a206a39ff4
BTR,BRIGHTSTAR RESOURCES LIMITED,Funding Package Completed - Fully Funded for Production,2026-03-19,,0.36,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070462-6A1317256?access_token=83ff96335c2d45a094df02a206a39ff4
WQG,WCM GLOBAL GROWTH LIMITED,Successful Completion of Offer and Placement,2026-03-19,1.75,1.73,-1.14,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070435-3A689793?access_token=83ff96335c2d45a094df02a206a39ff4
SGA,SARYTOGAN GRAPHITE LIMITED,$2M Cash Received,2026-03-19,0.08,0.088,10.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070123-6A1317114?access_token=83ff96335c2d45a094df02a206a39ff4
KEY,KEY PETROLEUM LIMITED,Placement,2026-03-19,,0.05,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070128-6A1317116?access_token=83ff96335c2d45a094df02a206a39ff4
