"Code","Company","Price","Franking","Yield","Gross","DRP","1yr Return"
"HLI","Helia Group Ltd","$4.39","50%","13.67%","16.60%","No","+14.03%"
"SGF","SG Fleet Group Ltd","$2.71","100%","12.52%","17.89%","Yes","+5.86%"
"WAM","WAM Capital Ltd","$1.51","60%","10.26%","12.90%","Yes","-0.66%"
"MMS","Mcmillan Shakespeare Ltd","$15.20","100%","10.13%","14.47%","No","-13.34%"
"FMG","Fortescue Ltd","$19.55","100%","10.08%","14.40%","Yes","-16.63%"
"BGP","Briscoe Group Australasia Ltd","$4.18","0%","10.02%","10.02%","No","-5.43%"
"COF","Centuria Office REIT","$1.185","0%","9.73%","9.73%","Yes","-3.66%"
"MXT","Metrics Master Income Trust","$2.08","0%","9.47%","9.47%","Yes","+2.97%"
"MOT","Metrics Income Opportunities Trust","$2.17","0%","9.47%","9.47%","Yes","+2.36%"
"KKC","KKR Credit Income Fund","$2.31","0%","9.40%","9.40%","Yes","+10.00%"
"SPK","Spark New Zealand Ltd","$2.74","0%","9.20%","9.20%","Yes","-41.58%"
"NNUK","Nanuk New World Fund (Managed Fund)","$2.05","0%","9.19%","9.19%","No","+23.49%"
"SMR","Stanmore Resources Ltd","$3.19","100%","8.87%","12.67%","No","-14.71%"
"QRI","Qualitas Real Estate Income Fund","$1.64","0%","8.58%","8.58%","Yes","+2.18%"
"ALD","Ampol Ltd","$28.30","100%","8.48%","12.12%","No","-15.02%"
"GCI","Gryphon Capital Income Trust","$2.04","0%","8.48%","8.48%","No","+1.47%"
"NHC","New Hope Corporation Ltd","$4.70","100%","8.30%","11.85%","No","-10.98%"
"PCI","Perpetual Credit Income Trust","$1.165","0%","8.24%","8.24%","Yes","+10.43%"
"APA","APA Group","$6.80","13%","8.24%","8.68%","Yes","-18.56%"
"ALX","Atlas Arteria","$4.87","0%","8.21%","8.21%","No","-14.56%"
"SUL","Super Retail Group Ltd","$14.68","100%","8.11%","11.58%","Yes","+8.66%"
"PTM","Platinum Asset Management Ltd","$1.24","100%","8.06%","11.52%","No","+4.20%"
"WDS","Woodside Energy Group Ltd","$24.07","100%","8.05%","11.50%","Yes","-26.53%"
"BFL","BSP Financial Group Ltd","$6.21","0%","7.94%","7.94%","No","+18.51%"
"DRR","Deterra Royalties Ltd","$3.72","100%","7.87%","11.25%","No","-22.34%"
"LFG","Liberty Financial Group","$3.19","0%","7.84%","7.84%","No","-17.36%"
"HGH","Heartland Group Holdings Ltd","$0.895","0%","7.81%","7.81%","Yes","-38.08%"
"CMW","Cromwell Property Group","$0.395","0%","7.80%","7.80%","Yes","+5.33%"
"MOAT","Vaneck Morningstar Wide Moat ETF","$127.23","0%","7.65%","7.65%","Yes","+15.59%"
"GOZ","Growthpoint Properties Australia","$2.53","0%","7.63%","7.64%","Yes","+13.45%"
"NEC","Nine Entertainment Co. Holdings Ltd","$1.13","100%","7.52%","10.75%","No","-41.15%"
"MBLPC","Macquarie Bank Ltd","$104.95","40%","7.40%","8.67%","No","+0.24%"
"CQR","Charter Hall Retail REIT","$3.36","0%","7.35%","7.35%","Yes","+3.70%"
"HCW","Healthco Healthcare and Wellness REIT","$1.115","0%","7.17%","7.17%","Yes","-18.61%"
"PPM","Pepper Money Ltd","$1.40","100%","7.14%","10.20%","No","+12.90%"
"ABG","Abacus Group","$1.21","25%","7.02%","7.78%","Yes","+19.21%"
"IGO","IGO Ltd","$5.30","100%","6.98%","9.97%","No","-42.77%"
"YMAX","Betashares Aus Top 20 Equity Yield MAX Fund (Managed Fund)","$8.00","47%","6.95%","8.34%","Yes","+9.14%"
"MQGPD","Macquarie Group Ltd","$105.23","40%","6.86%","8.04%","No","-0.06%"
"STO","Santos Ltd","$6.79","0%","6.76%","6.76%","Yes","-6.99%"
"DXS","Dexus","$7.10","8%","6.76%","6.99%","No","+1.43%"
"CLW","Charter Hall Long Wale REIT","$3.85","0%","6.75%","6.75%","Yes","+16.67%"
"GNE","Genesis Energy Ltd","$1.895","0%","6.74%","6.74%","Yes","-15.40%"
"XALG","Alphinity Global Equity Fund (Managed Fund)","$11.50","0%","6.65%","6.65%","No","+21.05%"
"ING","Inghams Group Ltd","$3.01","100%","6.64%","9.49%","No","-23.02%"
"HDN","Homeco Daily Needs REIT","$1.25","0%","6.64%","6.64%","Yes","+11.11%"
"WPR","Waypoint REIT","$2.48","0%","6.63%","6.63%","Yes","+6.90%"
"CVL","Civmec Ltd","$1.36","100%","6.62%","9.45%","No","+36.00%"
"IPH","IPH Ltd","$5.38","32%","6.51%","7.41%","Yes","-22.92%"
"SGLLV","Ricegrowers Ltd","$9.23","100%","6.50%","9.29%","Yes","+53.07%"
"DBI","Dalrymple Bay Infrastructure Ltd","$3.35","61%","6.42%","8.08%","No","+21.38%"
"APE","Eagers Automotive Ltd","$11.62","100%","6.37%","9.10%","Yes","-15.18%"
"MQGPF","Macquarie Group Ltd","$107.68","40%","6.37%","7.46%","No","+4.43%"
"RGN","Region Group","$2.16","0%","6.34%","6.34%","Yes","+2.37%"
"AN3PH","Australia and New Zealand Banking Group Ltd","$102.02","60%","6.33%","7.97%","No","-0.87%"
"IAGPE","Insurance Australia Group Ltd","$106.09","40%","6.31%","7.39%","No","+4.42%"
"RFF","Rural Funds Group","$1.86","0%","6.31%","6.31%","Yes","-0.80%"
"SIQ","Smartgroup Corporation Ltd","$7.87","100%","6.29%","8.99%","No","-11.17%"
"IPL","Incitec Pivot Ltd","$3.10","0%","6.28%","6.28%","Yes","+7.64%"
"GWA","GWA Group Ltd","$2.39","100%","6.28%","8.97%","Yes","+25.13%"
"MTS","Metcash Ltd","$3.11","100%","6.27%","8.96%","Yes","-16.62%"
"DXI","Dexus Industria REIT","$2.63","6%","6.24%","6.39%","No","+1.94%"
"MFG","Magellan Financial Group Ltd","$10.68","50%","6.10%","7.40%","No","+52.35%"
"CQE","Charter Hall Social Infrastructure REIT","$2.61","0%","6.03%","6.03%","Yes","+1.56%"
"RF1","Regal Investment Fund","$3.70","0%","5.97%","5.97%","Yes","+37.04%"
"MQGPE","Macquarie Group Ltd","$103.75","40%","5.95%","6.97%","No","+2.63%"
"GNC","Graincorp Ltd","$9.15","100%","5.90%","8.43%","No","+23.32%"
"MBLPD","Macquarie Bank Ltd","$105.51","40%","5.88%","6.89%","No","+4.56%"
"SUBD","Vaneck Australian Subordinated Debt ETF","$25.24","0%","5.80%","5.80%","Yes","+1.49%"
