rings,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,sex_m,sex_f,sex_i
11,0.842173735,0.860991542,0.688811003,0.797789649,0.819637499,0.854509788,0.46480584,0,0,1
12,1.40386293,1.523946529,1.645176692,2.556957875,2.065165072,2.736337747,2.137793179,0,0,1
10,1.187828624,0.962984617,1.098682012,1.439731739,1.808023895,1.315742131,0.848198772,0,0,1
10,0.928587457,0.962984617,1.235305682,1.895469472,1.861594974,1.800036091,0.848198772,1,0,0
13,1.79272468,1.574943067,1.918424032,3.316177847,3.056230022,2.570294104,2.974286848,0,0,1
11,1.274242346,1.166970767,0.962058342,1.812140451,2.108021934,1.832322355,1.475569024,1,0,0
11,0.582932568,0.606008854,0.962058342,0.699029328,0.664281372,0.863734434,0.534513646,0,0,1
10,0.453311985,0.351026167,0.142316323,0.225802787,0.192855882,0.485523913,0.46480584,1,0,0
14,0.971794318,0.962984617,0.825434672,1.101271887,1.360705391,0.97904252,1.196737801,1,0,0
9,0.539725707,0.504015779,0.142316323,0.291643001,0.281248161,0.711527761,0.151120714,1,0,0
10,0.712553152,0.708001929,0.825434672,0.614671553,0.763387867,0.997491814,0.534513646,1,0,0
10,0.798966874,0.860991542,0.415563663,0.264895414,0.350890563,0.467074619,0.569367549,0,0,1
9,0.366898262,0.351026167,0.005692653,-0.00052295,0.452675612,-0.257060159,-0.058002703,0,0,1
9,0.366898262,0.249033092,-0.677425697,0.383202049,0.658924264,0.739201702,-0.058002703,1,0,0
11,0.798966874,0.606008854,0.962058342,0.499451178,0.546424999,0.766875642,0.290536325,0,0,1
12,1.317449208,1.319960379,1.918424032,1.711322623,1.735702939,0.974430197,1.371007315,1,0,0
9,0.971794318,1.166970767,0.552187333,1.396524098,1.652667768,1.403376276,0.987614383,1,0,0
12,1.058208041,1.370956917,1.371929352,1.796709151,1.799988234,1.228107985,1.580130732,1,0,0
15,1.231035485,1.523946529,1.508553022,1.851233078,1.226777695,2.395025813,2.27720879,1,0,0
11,1.40386293,1.472949992,0.688811003,0.869802383,0.822316053,1.1127999,1.022468286,1,0,0
13,1.274242346,0.911988079,0.142316323,0.937700104,0.575889093,0.909857669,0.883052675,0,0,1
14,1.187828624,1.166970767,1.371929352,1.743213977,1.759809925,1.6247678,2.312062693,1,0,0
10,0.798966874,0.606008854,1.235305682,0.597182746,0.736602328,1.320354454,0.081412908,0,0,1
9,0.410105124,0.198036554,0.415563663,0.390403323,0.768744975,0.868346758,-0.162564412,1,0,0
14,0.237277679,0.351026167,0.825434672,0.221687774,0.179463113,-0.095628839,0.673929257,0,0,1
12,0.626139429,0.657005392,1.098682012,0.455214784,0.077678064,1.108187576,0.395098034,1,0,0
12,0.582932568,0.402022704,0.962058342,0.521054998,0.104463603,0.80377423,0.778490966,0,0,1
