Department,SaleDate,Amount,Quantity,ItemCode,ItemDescription,Salesperson
Electronics,2021-06-04,315.9,6,L012,Dress,Jane
Books,2020-12-13,604.36,10,C003,Refrigerator,Andrew
Electronics,2022-08-06,148.52,10,O015,Puzzle,Jane
Clothing,2021-12-28,658.89,8,E005,Action Figure,Olivia
Clothing,2022-10-15,845.58,10,L012,Dress,David
Toys,2022-08-13,204.23,5,L012,Dress,John
Clothing,2020-12-30,364.84,7,D004,Novel,David
Home Appliances,2022-07-04,387.67,7,I009,Cookbook,Andrew
Home Appliances,2022-02-07,643.14,3,H008,Microwave,Jane
Home Appliances,2020-12-08,752.36,8,I009,Cookbook,Andrew
Books,2022-03-28,480.49,4,L012,Dress,Olivia
Books,2021-06-05,339.7,10,F006,Laptop,David
Home Appliances,2021-11-16,868.56,2,B002,T-shirt,Michael
Electronics,2020-11-29,445.44,6,M013,Vacuum Cleaner,Andrew
Clothing,2022-01-22,501.82,8,J010,Board Game,Andrew
Books,2020-08-09,282.83,10,C003,Refrigerator,Alex
Toys,2021-04-24,324.17,2,M013,Vacuum Cleaner,Jane
Toys,2021-01-29,463.79,10,F006,Laptop,Emily
Home Appliances,2021-07-09,971.62,5,O015,Puzzle,Emily
Clothing,2022-01-11,350.68,8,I009,Cookbook,David
Books,2020-06-01,282.5,6,L012,Dress,Michael
Clothing,2020-07-01,369.04,3,D004,Novel,Andrew
Toys,2020-09-05,458.53,6,M013,Vacuum Cleaner,David
Books,2022-01-16,974.13,5,J010,Board Game,John
Electronics,2020-10-23,585.72,6,G007,Jeans,Alex
Books,2023-02-02,616.53,3,I009,Cookbook,Andrew
Books,2021-08-12,768.85,6,D004,Novel,Olivia
Clothing,2020-07-06,189.67,4,N014,Art Book,Jane
Books,2020-09-07,447.59,3,H008,Microwave,Alex
Home Appliances,2023-01-10,218.1,3,B002,T-shirt,Andrew
Home Appliances,2022-08-09,779.01,6,B002,T-shirt,David
Toys,2022-06-30,114.77,1,O015,Puzzle,Alex
Clothing,2023-01-11,668.36,2,O015,Puzzle,Daniel
Electronics,2021-09-29,514.59,8,G007,Jeans,Daniel
Electronics,2023-05-24,458.13,3,M013,Vacuum Cleaner,Sarah
Books,2021-10-03,469.36,9,D004,Novel,David
Toys,2022-05-08,374.17,6,H008,Microwave,Sarah
Toys,2020-11-02,406.01,6,M013,Vacuum Cleaner,Jane
Toys,2021-08-12,521.88,1,H008,Microwave,David
Books,2021-04-30,533.01,6,H008,Microwave,Emily
Toys,2022-07-12,912.04,7,L012,Dress,Michael
Clothing,2022-07-23,746.34,5,I009,Cookbook,David
Toys,2021-02-12,637.1,10,E005,Action Figure,David
Home Appliances,2022-12-01,502.94,3,J010,Board Game,Sarah
Home Appliances,2023-05-08,558.24,5,L012,Dress,Olivia
Books,2023-05-23,862.88,3,A001,Smartphone,Alex
Home Appliances,2022-01-09,164.6,4,M013,Vacuum Cleaner,Olivia
Electronics,2021-03-12,534.98,1,M013,Vacuum Cleaner,Sarah
Toys,2021-12-30,745.31,1,M013,Vacuum Cleaner,Jane
Books,2022-07-31,203.06,9,L012,Dress,Andrew
Home Appliances,2021-03-26,547.84,5,O015,Puzzle,Olivia
Toys,2022-09-22,289.84,9,K011,Headphones,Sarah
Books,2020-09-17,596.83,3,G007,Jeans,David
Toys,2022-07-14,926.11,1,M013,Vacuum Cleaner,John
Electronics,2023-02-05,637.07,5,F006,Laptop,Olivia
Toys,2022-06-03,370.21,7,B002,T-shirt,Olivia
Toys,2021-12-19,797.37,3,N014,Art Book,Emily
Home Appliances,2022-11-05,696.86,4,F006,Laptop,John
Electronics,2022-04-18,399.48,9,O015,Puzzle,Alex
Toys,2021-08-22,926.37,8,D004,Novel,Alex
Electronics,2021-03-28,652.98,5,O015,Puzzle,Michael
Electronics,2022-10-09,101.7,6,F006,Laptop,Olivia
Home Appliances,2020-06-18,913.93,4,L012,Dress,Jane
Home Appliances,2022-12-03,579.08,5,A001,Smartphone,Sarah
Books,2021-11-11,581.24,9,K011,Headphones,Andrew
Toys,2020-10-31,617.94,7,B002,T-shirt,Emily
Home Appliances,2021-10-23,236.37,9,C003,Refrigerator,Olivia
Toys,2020-11-12,543.02,1,G007,Jeans,Sarah
Electronics,2021-07-22,449.06,9,J010,Board Game,David
Electronics,2022-10-11,833.92,1,N014,Art Book,David
Books,2023-02-03,941.36,4,O015,Puzzle,John
Books,2021-12-01,960.11,10,M013,Vacuum Cleaner,David
Books,2022-07-14,975.46,5,L012,Dress,Michael
Clothing,2020-08-19,141.53,5,N014,Art Book,Daniel
Home Appliances,2023-04-07,444.29,7,B002,T-shirt,Jane
Electronics,2022-01-27,230.68,6,L012,Dress,Jane
Toys,2023-01-25,922.03,2,A001,Smartphone,Alex
Books,2021-03-21,578.08,6,C003,Refrigerator,Sarah
Books,2023-04-18,916.09,5,O015,Puzzle,Emily
Books,2022-06-08,668.38,2,D004,Novel,Emily
Home Appliances,2020-11-18,557.84,7,H008,Microwave,Emily
Electronics,2021-05-05,352.42,7,B002,T-shirt,Emily
Books,2022-05-15,555.76,9,H008,Microwave,David
Clothing,2023-05-05,153.42,2,J010,Board Game,Andrew
Electronics,2023-04-08,855.99,2,J010,Board Game,Jane
Home Appliances,2020-09-29,489.12,5,A001,Smartphone,David
Home Appliances,2022-11-17,997.79,9,A001,Smartphone,Emily
Home Appliances,2021-04-05,362.28,6,C003,Refrigerator,Emily
Books,2020-10-08,547.72,6,I009,Cookbook,Andrew
Books,2020-08-22,529.07,7,H008,Microwave,Alex
Electronics,2022-05-15,961.74,4,C003,Refrigerator,Jane
Home Appliances,2021-03-03,968.93,4,N014,Art Book,Emily
Electronics,2023-01-14,527.05,8,H008,Microwave,Andrew
Home Appliances,2023-01-07,619.28,4,D004,Novel,Michael
Books,2022-03-01,297.08,1,L012,Dress,Olivia
Books,2023-04-03,134.48,3,F006,Laptop,Michael
Electronics,2022-08-25,319.21,6,F006,Laptop,Andrew
Electronics,2021-09-05,683.79,9,E005,Action Figure,Olivia
Toys,2021-04-08,969.92,7,I009,Cookbook,John
Electronics,2022-04-05,436.3,4,D004,Novel,Michael
Electronics,2020-07-04,823.98,6,I009,Cookbook,Emily
Toys,2021-02-10,526.7,1,K011,Headphones,Emily
Electronics,2020-10-02,139.63,7,N014,Art Book,Daniel
Home Appliances,2021-09-08,882.71,2,L012,Dress,Emily
